"LICENCES","YEAR","JURISDICTION","METRIC","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)","FINES PER 10000 LICENCES","ARRESTS PER 10000 LICENCES","CHARGES PER 10000 LICENCES"
287134,2010,"ACT","Mobile Phone Use",2407,0,0,83.82845640014767,0,0
287134,2010,"ACT","Speed Fines",58705,0,0,2044.515800984906,0,0
4791490,2010,"NSW","Mobile Phone Use",51104,0,0,106.65575843839807,0,0
4791490,2010,"NSW","Speed Fines",390746,0,0,815.499980173182,0,0
132561,2010,"NT","Mobile Phone Use",998,0,0,75.28609470357044,0,0
132561,2010,"NT","Speed Fines",26775,0,0,2019.824835358816,0,0
3132341,2010,"QLD","Mobile Phone Use",33013,0,0,105.39401680723778,0,0
3132341,2010,"QLD","Speed Fines",440622,0,0,1406.6859259576145,0,0
1130920,2010,"SA","Mobile Phone Use",14139,0,0,125.02210589608461,0,0
1130920,2010,"SA","Speed Fines",91335,0,0,807.616807554911,0,0
363291,2010,"TAS","Mobile Phone Use",3735,0,0,102.8101439342015,0,0
363291,2010,"TAS","Speed Fines",37376,0,0,1028.8171190588262,0,0
3978322,2010,"VIC","Mobile Phone Use",54728,0,0,137.5655364246534,0,0
3978322,2010,"VIC","Speed Fines",1172460,0,0,2947.1219272849207,0,0
1566465,2010,"WA","Mobile Phone Use",11705,0,0,74.72238447715078,0,0
1566465,2010,"WA","Speed Fines",300344,0,0,1917.336167740741,0,0
294174,2011,"ACT","Mobile Phone Use",2284,0,0,77.64112396064914,0,0
294174,2011,"ACT","Speed Fines",56719,0,0,1928.076580527171,0,0
4893688,2011,"NSW","Mobile Phone Use",46714,0,0,95.45765892717313,0,0
4893688,2011,"NSW","Speed Fines",389649,0,0,796.22771210588,0,0
133035,2011,"NT","Mobile Phone Use",729,0,0,54.797609651595444,0,0
133035,2011,"NT","Speed Fines",24633,0,0,1851.617995264404,0,0
3240939,2011,"QLD","Mobile Phone Use",30389,0,0,93.76603509044755,0,0
3240939,2011,"QLD","Speed Fines",588714,0,0,1816.4920722049999,0,0
1138713,2011,"SA","Mobile Phone Use",13402,0,0,117.69427414985164,0,0
1138713,2011,"SA","Speed Fines",61859,0,0,543.2360919740092,0,0
367296,2011,"TAS","Mobile Phone Use",3241,0,0,88.23945809374456,0,0
367296,2011,"TAS","Speed Fines",24427,0,0,665.0494424115699,0,0
4060582,2011,"VIC","Mobile Phone Use",52630,0,0,129.61196202908843,0,0
4060582,2011,"VIC","Speed Fines",1151555,0,0,2835.9358338287466,0,0
1605793,2011,"WA","Mobile Phone Use",10485,0,0,65.29484186317913,0,0
1605793,2011,"WA","Speed Fines",558552,0,0,3478.3561766678517,0,0
301841,2012,"ACT","Mobile Phone Use",1722,0,0,57.049903757276184,0,0
301841,2012,"ACT","Speed Fines",54201,0,0,1795.6805072869493,0,0
4984973,2012,"NSW","Mobile Phone Use",42900,0,0,86.05864063857518,0,0
4984973,2012,"NSW","Speed Fines",432586,0,0,867.7800260904121,0,0
138077,2012,"NT","Mobile Phone Use",722,0,0,52.28966446258247,0,0
138077,2012,"NT","Speed Fines",27730,0,0,2008.2997168246702,0,0
3301004,2012,"QLD","Mobile Phone Use",28548,0,0,86.48277917869837,0,0
3301004,2012,"QLD","Speed Fines",653679,0,0,1980.2429806204416,0,0
1151821,2012,"SA","Mobile Phone Use",11623,0,0,100.90977677955169,0,0
1151821,2012,"SA","Speed Fines",54773,0,0,475.5339588356177,0,0
365359,2012,"TAS","Mobile Phone Use",2141,0,0,58.599897634928936,0,0
365359,2012,"TAS","Speed Fines",7410,0,0,202.81421834414917,0,0
4135725,2012,"VIC","Mobile Phone Use",61497,0,0,148.69702410097383,0,0
4135725,2012,"VIC","Speed Fines",1185037,0,0,2865.367015456782,0,0
1623226,2012,"WA","Mobile Phone Use",17822,0,0,109.7937070993195,0,0
1623226,2012,"WA","Speed Fines",588746,0,0,3627.0118886710784,0,0
307834,2013,"ACT","Mobile Phone Use",1356,0,0,44.0497151061936,0,0
307834,2013,"ACT","Speed Fines",51948,0,0,1687.532891103647,0,0
5060762,2013,"NSW","Mobile Phone Use",33514,0,0,66.22322883391868,0,0
5060762,2013,"NSW","Speed Fines",426904,0,0,843.5567608198132,0,0
146404,2013,"NT","Mobile Phone Use",1058,0,0,72.26578508783913,0,0
146404,2013,"NT","Speed Fines",24536,0,0,1675.9104942487909,0,0
