"YEAR","JURISDICTION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2024,"NSW","40-64","Non Wearing Seatbelts","Manual enforcement",151,0,2
2024,"NSW","40-64","Speed Fines","Manual enforcement",1888,0,10
2024,"NSW","40-64","Unlicensed Driving","Manual enforcement",109,0,431
2024,"NSW","65 and over","Mobile Phone Use","Manual enforcement",31,0,0
2024,"NSW","65 and over","Non Wearing Seatbelts","Manual enforcement",24,0,0
2024,"NSW","65 and over","Speed Fines","Manual enforcement",285,0,0
2024,"NSW","65 and over","Unlicensed Driving","Manual enforcement",9,0,29
2024,"NSW","0-16","Non Wearing Seatbelts","Manual enforcement",1,0,1
2024,"NSW","0-16","Speed Fines","Manual enforcement",2,0,0
2024,"NSW","0-16","Unlicensed Driving","Manual enforcement",0,0,2
2024,"NSW","17-25","Mobile Phone Use","Manual enforcement",6,0,0
2024,"NSW","17-25","Non Wearing Seatbelts","Manual enforcement",17,0,0
2024,"NSW","17-25","Speed Fines","Manual enforcement",347,0,1
2024,"NSW","17-25","Unlicensed Driving","Manual enforcement",14,0,47
2024,"NSW","26-39","Mobile Phone Use","Manual enforcement",11,0,0
2024,"NSW","26-39","Non Wearing Seatbelts","Manual enforcement",43,0,0
2024,"NSW","26-39","Speed Fines","Manual enforcement",639,0,1
2024,"NSW","26-39","Unlicensed Driving","Manual enforcement",24,0,58
2024,"NSW","40-64","Mobile Phone Use","Manual enforcement",3,0,0
2024,"NSW","40-64","Non Wearing Seatbelts","Manual enforcement",20,0,6
2024,"NSW","40-64","Speed Fines","Manual enforcement",732,0,1
2024,"NSW","40-64","Unlicensed Driving","Manual enforcement",13,0,36
2024,"NSW","65 and over","Mobile Phone Use","Manual enforcement",2,0,0
2024,"NSW","65 and over","Non Wearing Seatbelts","Manual enforcement",8,0,0
2024,"NSW","65 and over","Speed Fines","Manual enforcement",194,0,0
2024,"NSW","65 and over","Unlicensed Driving","Manual enforcement",1,0,3
2024,"NSW","0-16","Speed Fines","Manual enforcement",1,0,0
2024,"NSW","17-25","Mobile Phone Use","Manual enforcement",1,0,1
2024,"NSW","17-25","Non Wearing Seatbelts","Manual enforcement",6,0,1
2024,"NSW","17-25","Speed Fines","Manual enforcement",28,0,0
2024,"NSW","17-25","Unlicensed Driving","Manual enforcement",0,0,4
2024,"NSW","26-39","Non Wearing Seatbelts","Manual enforcement",9,0,0
2024,"NSW","26-39","Speed Fines","Manual enforcement",55,0,0
2024,"NSW","26-39","Unlicensed Driving","Manual enforcement",2,0,9
